Reference,Cathode materials,Charge storage mechanism,Electrolyte/ anolyte,AlCl3/XCl molar ratio (r),Ic (mA g−1),Qc  (mAh g−1)#,Vavg (V)*,QAM (Ah kg−1),EAM (Wh kg−1),PAM (W kg−1),Max. cycle
23,Tin selenide nanoparticles (SnSe),Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,300,582,0.75,18,14,7,100
,,,,,,,,,,,
24,Molybdenum diselenide (MoSe2),Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,40,77,0.9,15,14,7,200
,Molybdenum sulfide selenide (MoSSe),,,1.3,40,390,0.25,18,4,0,
,Molybdenum disulfide (MoS2),,,1.3,40,45,0.7,13,9,8,
25,Star-shaped two-dimensional tungsten disulfide microsheet,Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,100,254,0.3,18,5,2,500
,(2D WS2),,,,,,,,,,
26,Metal-organic frameworks derived cobalt telluride nanoparticles@nitrogen-doped porous carbon polyhedral composites (CoTe2@N-PC),Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,200,635.8,1.2,18,22,7,200
,,,,1.3,250,426.4,1.2,18,22,13,
,,,,1.3,300,345.2,1.2,18,21,19,
,,,,1.3,500,180.8,1,17,17,47,
27,Self-supported tin sulfide porous film (SnS PF),Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,20,406,1.1,18,20,1,1000
,,,,1.3,50,371,1.1,18,20,3,
,,,,1.3,100,300,1.05,18,19,6,
,,,,1.3,200,250,1,18,18,14,
,,,,1.3,500,160.5,1,17,17,53,
28,Two-dimensional MXene composite,Type 1 AlCl4− intercalation,AlCl3-EMIMCl,1.3,100,157.7,0.9,17,15,10,120
,(D-Ti3C2Tx@S@TiO2),,,1.3,150,139.1,0.9,17,15,16,
,,,,1.3,200,92.9,0.9,16,14,30,
,,,,1.3,500,51.8,0.75,14,10,100,
29,Graphitic carbon nitride,Type 2 AlCl4− intercalation,AlCl3-EMIMCl,1.3,29,97,1.7,16,160,48,500
,(g-C3N4),,,,,,,,,,
30,Phenanthrenequinone triangle (PQ-Δ),AlCl2+ Intercalation,AlCl3-EMIMCl,1.5,100,110,1.4,37,52,48,5000
,,(Example 1),,1.5,200,95,1.4,36,50,105,
31,Polyimide/metal-organic framework hybrids (PI/MOF),AlCl2+ Intercalation (Example 1),AlCl3-EMIMCl,1.3,1000,79,1.25,25,32,400,1800
